Date,Open,High,Low,Close,Adj Close,Volume
8/15/2018,146.080002,147.880005,143.600006,145.039993,145.039993,4476900
8/16/2018,146.509995,146.910004,145.220001,145.729996,145.729996,3704000
8/17/2018,145.5,146.009995,143.949997,145.020004,145.020004,2865600
8/20/2018,145.210007,146.059998,144.320007,145.710007,145.710007,2882200
8/21/2018,146.410004,148.789993,145.360001,145.529999,145.529999,4063700
8/22/2018,145.589996,147.199997,145.050003,146.460007,146.460007,4245300
8/23/2018,146.830002,148.339996,146.070007,147.830002,147.830002,6196300
8/24/2018,148.5,152.380005,148.5,152.300003,152.300003,4882000
8/27/2018,154.710007,154.880005,150.199997,151.679993,151.679993,5814800
8/28/2018,152.029999,153.399994,151.559998,152.990005,152.990005,5266900
8/29/2018,153.330002,154.970001,153.050003,154.800003,154.800003,9018600
8/30/2018,151.119995,153.740005,149.5,152.139999,152.139999,14441000
8/31/2018,152.139999,153.869995,151.899994,152.679993,152.679993,6210500
9/4/2018,152.110001,153.339996,151.509995,153.210007,153.210007,5310900
9/5/2018,152.389999,152.779999,147.080002,148.649994,148.649994,7287400
9/6/2018,148.75,149.160004,147.080002,148.830002,148.830002,4190300
9/7/2018,147.839996,151.410004,147.5,150.429993,150.429993,3866800
9/10/2018,150,151.580002,148,151.320007,151.320007,3872300
9/11/2018,151.080002,153.75,150.619995,152.839996,152.839996,4151000
9/12/2018,152.839996,155.770004,151.809998,155.369995,155.369995,5180800
9/13/2018,155.869995,158.779999,155.820007,158.179993,158.179993,6213500
9/14/2018,157.949997,158.789993,156.320007,157.490005,157.490005,4615300
9/17/2018,157,158.429993,154.619995,154.919998,154.919998,3899600
9/18/2018,154.759995,158.029999,154.75,156,156,3749600
9/19/2018,156.369995,157.330002,152.389999,152.899994,152.899994,5546000
9/20/2018,153.289993,156.070007,151.649994,155.5,155.5,4655600
9/21/2018,157.070007,157.960007,154.960007,155.520004,155.520004,17991600
9/24/2018,155.380005,158.910004,153.330002,158.779999,158.779999,5082100
